"DV","0000007","20250914|155409","20250908_1598512_049580_102557","R12_2_MEX_Guadalajara Open Akron - Guadalajara","Khromacheva/Melichar-Martinez","Olmos/Sutjiadi","|K|0.679073|EK|G||OL1|1.54364|EOL1|OL2|3.23232|EOL2|OH1|148|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.51256|ENAOL1|NAOL2|3.55056|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/wta-guadalajara-doubles/khromacheva-irina-melichar-nicole-olmos-giuliana-sutjiadi-aldila-vD2TBAWP/","","1.44","2.84","","","","","","","1.38","2.73","","","","","","",""
"CSM","0000010","20250914|155448","20250915_2100501_082490_075024","R01_1_USA_Columbus Challenger","Milavsky","Bicknell","|K|0.614255|EK|G||OL1|1.75877|EOL1|OL2|2.7716|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.886|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/milavsky-daniel-bicknell-blaise-GIeprfUI/#ah;2;-1.50;2","-1.5","1.96","1.8","","","","","","","1.96","1.8","","","","","","",""
"CSM","0000010","20250914|155452","20250915_2100501_082490_075024","R01_1_USA_Columbus Challenger","Milavsky","Bicknell","|K|0.614255|EK|G||OL1|1.75877|EOL1|OL2|2.7716|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.886|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/milavsky-daniel-bicknell-blaise-GIeprfUI/#ah;2;1.50;1","1.5","1.36","3.08","","","","","","","1.36","3.08","","","","","","",""
"CSM","0000010","20250914|155450","20250915_2100501_082490_075024","R01_1_USA_Columbus Challenger","Milavsky","Bicknell","|K|0.614255|EK|G||OL1|1.75877|EOL1|OL2|2.7716|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.886|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/milavsky-daniel-bicknell-blaise-GIeprfUI/#ah;2;-1.50;1","-1.5","2.71","1.45","","","","","","","2.71","1.45","","","","","","",""
"CSM","0000010","20250914|155442","20250915_2100501_082490_075024","R01_1_USA_Columbus Challenger","Milavsky","Bicknell","|K|0.614255|EK|G||OL1|1.75877|EOL1|OL2|2.7716|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.886|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/milavsky-daniel-bicknell-blaise-GIeprfUI/","","1.78","2.0","","","","","","","1.71","1.92","","","","","","",""
"CSM","0000011","20250914|155503","20250915_2100501_044252_023816","R01_1_USA_Columbus Challenger","Poling","Masur","|K|0.212127|EK|G||OL1|5.03152|EOL1|OL2|1.37033|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|5.2392|ENAOL1|NAOL2|1.33985|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/poling-karl-masur-daniel-2RF3mk6b/#ah;2;5.50;2","5.5","1.58","2.31","","","","","","","1.58","2.31","","","","","","",""
"CSM","0000011","20250914|155501","20250915_2100501_044252_023816","R01_1_USA_Columbus Challenger","Poling","Masur","|K|0.212127|EK|G||OL1|5.03152|EOL1|OL2|1.37033|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|5.2392|ENAOL1|NAOL2|1.33985|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/poling-karl-masur-daniel-2RF3mk6b/#ah;2;4.50;2","4.5","1.96","1.81","","","","","","","1.96","1.81","","","","","","",""
"CSM","0000011","20250914|155506","20250915_2100501_044252_023816","R01_1_USA_Columbus Challenger","Poling","Masur","|K|0.212127|EK|G||OL1|5.03152|EOL1|OL2|1.37033|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|5.2392|ENAOL1|NAOL2|1.33985|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/poling-karl-masur-daniel-2RF3mk6b/#ah;2;1.50;1","1.5","2.15","1.68","","","","","","","2.15","1.68","","","","","","",""
"CSM","0000011","20250914|155504","20250915_2100501_044252_023816","R01_1_USA_Columbus Challenger","Poling","Masur","|K|0.212127|EK|G||OL1|5.03152|EOL1|OL2|1.37033|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|5.2392|ENAOL1|NAOL2|1.33985|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/poling-karl-masur-daniel-2RF3mk6b/#ah;2;-1.50;1","-1.5","6.35","1.11","","","","","","","6.35","1.11","","","","","","",""
"CSM","0000011","20250914|155456","20250915_2100501_044252_023816","R01_1_USA_Columbus Challenger","Poling","Masur","|K|0.212127|EK|G||OL1|5.03152|EOL1|OL2|1.37033|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|5.2392|ENAOL1|NAOL2|1.33985|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/poling-karl-masur-daniel-2RF3mk6b/","","3.87","1.25","","","","","","","3.72","1.2","","","","","","",""
"SV","0000012","20250914|155510","20250908_1598512_039540_080381","R12_2_MEX_Guadalajara Open Akron - Guadalajara","Arango","Jovic","|K|0.370628|EK|G||OL1|2.781|EOL1|OL2|1.8126|EOL2|OH1|1|EOH1|OH2|159|EOH2|EG|NA||NAOL1|2.9457|ENAOL1|NAOL2|1.7808|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/wta-guadalajara/arango-emiliana-jovic-iva-ryttLrpK/","","2.55","1.57","","","","","","","2.45","1.51","","","","","","",""
