"DV","0000013","20240826|150337","20240826_1524404_096299_096300","R04_4_USA_U.S. Open - New York","Gadecki/Wu","Osorio/Parks","|K|0.606248|EK|G||OL1|1.68135|EOL1|OL2|2.66446|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.683|ENAOL1|NAOL2|2.8702|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open-doubles/gadecki-olivia-wu-fang-hsien-osorio-serrano-maria-camila-parks-alycia-OKxWgXB7/","","","","1.6","2.2","","","","","1.62","2.2","","","","","","",""
"CSM","0000016","20240826|150432","20240826_1994904_047387_039438","R04_1_ESP_Manacor Challenger","Holmgren","Broom","|K|0.624788|EK|G||OL1|1.69855|EOL1|OL2|2.84355|EOL2|OH1|161|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.69855|ENAOL1|NAOL2|2.9637|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/holmgren-august-broom-charles-YsdVYsAN/#ah;2;-1.50;2","-1.5","","","1.62","2.15","","","","","1.62","2.15","","","","","","",""
"CSM","0000016","20240826|150430","20240826_1994904_047387_039438","R04_1_ESP_Manacor Challenger","Holmgren","Broom","|K|0.624788|EK|G||OL1|1.69855|EOL1|OL2|2.84355|EOL2|OH1|161|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.69855|ENAOL1|NAOL2|2.9637|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/holmgren-august-broom-charles-YsdVYsAN/#ah;2;-3.50;2","-3.5","2.12","1.74","2.04","1.69","","","","","2.12","1.74","","","","","","",""
"CSM","0000016","20240826|150436","20240826_1994904_047387_039438","R04_1_ESP_Manacor Challenger","Holmgren","Broom","|K|0.624788|EK|G||OL1|1.69855|EOL1|OL2|2.84355|EOL2|OH1|161|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.69855|ENAOL1|NAOL2|2.9637|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/holmgren-august-broom-charles-YsdVYsAN/#ah;2;1.50;1","1.5","1.21","4.48","1.19","4.15","","","","","1.21","4.48","","","","","","",""
"CSM","0000016","20240826|150434","20240826_1994904_047387_039438","R04_1_ESP_Manacor Challenger","Holmgren","Broom","|K|0.624788|EK|G||OL1|1.69855|EOL1|OL2|2.84355|EOL2|OH1|161|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.69855|ENAOL1|NAOL2|2.9637|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/holmgren-august-broom-charles-YsdVYsAN/#ah;2;-1.50;1","-1.5","2.26","1.65","2.17","1.61","","","","","2.26","1.65","","","","","","",""
"CSM","0000016","20240826|150421","20240826_1994904_047387_039438","R04_1_ESP_Manacor Challenger","Holmgren","Broom","|K|0.624788|EK|G||OL1|1.69855|EOL1|OL2|2.84355|EOL2|OH1|161|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.69855|ENAOL1|NAOL2|2.9637|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/holmgren-august-broom-charles-YsdVYsAN/","","1.55","2.49","1.5","2.4","","","1.5","2.52","1.55","2.52","","","","","","",""
"CSM","0000017","20240826|150451","20240826_1994904_094493_047543","R04_1_ESP_Manacor Challenger","Landaluce","Ajdukovic","|K|0.511582|EK|G||OL1|2.0874|EOL1|OL2|2.18325|EOL2|OH1|196|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1756|ENAOL1|NAOL2|2.2755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/landaluce-martin-ajdukovic-duje-xG2Mz4uB/#ah;2;1.50;2","1.5","","","1.61","2.17","","","","","1.61","2.17","","","","","","",""
"CSM","0000017","20240826|150448","20240826_1994904_094493_047543","R04_1_ESP_Manacor Challenger","Landaluce","Ajdukovic","|K|0.511582|EK|G||OL1|2.0874|EOL1|OL2|2.18325|EOL2|OH1|196|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1756|ENAOL1|NAOL2|2.2755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/landaluce-martin-ajdukovic-duje-xG2Mz4uB/#ah;2;0.50;2","0.5","1.78","2.06","1.71","2.01","","","","","1.78","2.06","","","","","","",""
"CSM","0000017","20240826|150456","20240826_1994904_094493_047543","R04_1_ESP_Manacor Challenger","Landaluce","Ajdukovic","|K|0.511582|EK|G||OL1|2.0874|EOL1|OL2|2.18325|EOL2|OH1|196|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1756|ENAOL1|NAOL2|2.2755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/landaluce-martin-ajdukovic-duje-xG2Mz4uB/#ah;2;1.50;1","1.5","1.35","3.26","1.32","3.1","","","","","1.35","3.26","","","","","","",""
"CSM","0000017","20240826|150453","20240826_1994904_094493_047543","R04_1_ESP_Manacor Challenger","Landaluce","Ajdukovic","|K|0.511582|EK|G||OL1|2.0874|EOL1|OL2|2.18325|EOL2|OH1|196|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1756|ENAOL1|NAOL2|2.2755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/landaluce-martin-ajdukovic-duje-xG2Mz4uB/#ah;2;-1.50;1","-1.5","3.0","1.4","2.85","1.37","","","","","3.0","1.4","","","","","","",""
"CSM","0000017","20240826|150441","20240826_1994904_094493_047543","R04_1_ESP_Manacor Challenger","Landaluce","Ajdukovic","|K|0.511582|EK|G||OL1|2.0874|EOL1|OL2|2.18325|EOL2|OH1|196|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1756|ENAOL1|NAOL2|2.2755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/landaluce-martin-ajdukovic-duje-xG2Mz4uB/","","1.81","2.02","1.76","1.94","","","1.88","1.88","1.88","2.02","","","","","","",""
"CSM","0000018","20240826|150511","20240826_1994904_060140_030626","R04_1_ESP_Manacor Challenger","Mayot","Dougaz","|K|0.802187|EK|G||OL1|1.31875|EOL1|OL2|5.3889|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31875|ENAOL1|NAOL2|5.6166|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/mayot-harold-dougaz-aziz-rgsmM4QH/#ah;2;-3.50;2","-3.5","1.62","2.33","1.57","2.25","","","","","1.62","2.33","","","","","","",""
"CSM","0000018","20240826|150509","20240826_1994904_060140_030626","R04_1_ESP_Manacor Challenger","Mayot","Dougaz","|K|0.802187|EK|G||OL1|1.31875|EOL1|OL2|5.3889|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31875|ENAOL1|NAOL2|5.6166|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/mayot-harold-dougaz-aziz-rgsmM4QH/#ah;2;-4.50;2","-4.5","2.02","1.81","1.95","1.75","","","","","2.02","1.81","","","","","","",""
"CSM","0000018","20240826|150516","20240826_1994904_060140_030626","R04_1_ESP_Manacor Challenger","Mayot","Dougaz","|K|0.802187|EK|G||OL1|1.31875|EOL1|OL2|5.3889|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31875|ENAOL1|NAOL2|5.6166|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/mayot-harold-dougaz-aziz-rgsmM4QH/#ah;2;1.50;1","1.5","1.08","8.81","1.06","7.3","","","","","1.08","8.81","","","","","","",""
"CSM","0000018","20240826|150514","20240826_1994904_060140_030626","R04_1_ESP_Manacor Challenger","Mayot","Dougaz","|K|0.802187|EK|G||OL1|1.31875|EOL1|OL2|5.3889|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31875|ENAOL1|NAOL2|5.6166|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/mayot-harold-dougaz-aziz-rgsmM4QH/#ah;2;-1.50;1","-1.5","1.68","2.21","1.63","2.13","","","","","1.68","2.21","","","","","","",""
"CSM","0000018","20240826|150500","20240826_1994904_060140_030626","R04_1_ESP_Manacor Challenger","Mayot","Dougaz","|K|0.802187|EK|G||OL1|1.31875|EOL1|OL2|5.3889|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31875|ENAOL1|NAOL2|5.6166|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/mayot-harold-dougaz-aziz-rgsmM4QH/","","1.24","4.13","1.22","3.83","","","1.22","4.1","1.24","4.13","","","","","","",""
