"FSM","0000031","20250225|095704","20250224_2047504_063476_096547","R04_0_TUN_M15 Monastir","Vasiliauskas","Loge","|K|0.0635635|EK|G||OL1|15.9446|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|107|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-8-men/vasiliauskas-matas-loge-jack-h4Aw1KLE/","","","","6.7","1.08","","","7.0","1.07","7.0","1.08","","","","","","",""
"CSM","0000034","20250225|095755","20250224_2040404_093550_053532","R04_1_SUI_Lugano Challenger","Sakamoto","Draxl","|K|0.278635|EK|G||OL1|3.82694|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9849|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/sakamoto-rei-draxl-liam-YqXlJR1e/#ah;2;4.50;2","4.5","1.54","2.55","1.49","2.44","","","","","1.54","2.55","","","","","","",""
"CSM","0000034","20250225|095753","20250224_2040404_093550_053532","R04_1_SUI_Lugano Challenger","Sakamoto","Draxl","|K|0.278635|EK|G||OL1|3.82694|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9849|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/sakamoto-rei-draxl-liam-YqXlJR1e/#ah;2;3.50;2","3.5","1.88","1.96","1.82","1.88","","","","","1.88","1.96","","","","","","",""
"CSM","0000034","20250225|095759","20250224_2040404_093550_053532","R04_1_SUI_Lugano Challenger","Sakamoto","Draxl","|K|0.278635|EK|G||OL1|3.82694|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9849|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/sakamoto-rei-draxl-liam-YqXlJR1e/#ah;2;1.50;1","1.5","1.82","2.03","1.74","1.96","","","","","1.82","2.03","","","","","","",""
"CSM","0000034","20250225|095757","20250224_2040404_093550_053532","R04_1_SUI_Lugano Challenger","Sakamoto","Draxl","|K|0.278635|EK|G||OL1|3.82694|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9849|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/sakamoto-rei-draxl-liam-YqXlJR1e/#ah;2;-1.50;1","-1.5","5.19","1.18","4.57","1.16","","","","","5.19","1.18","","","","","","",""
"CSM","0000034","20250225|095746","20250224_2040404_093550_053532","R04_1_SUI_Lugano Challenger","Sakamoto","Draxl","|K|0.278635|EK|G||OL1|3.82694|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9849|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/sakamoto-rei-draxl-liam-YqXlJR1e/","","2.92","1.43","2.75","1.39","","","3.05","1.36","3.05","1.43","","","","","","",""
"CSV","0000035","20250225|095810","20250224_1605604_070327_073771","R04_1_SVK_W75 Trnava","Jimenez Kasintseva","Pridankina","|K|0.535115|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/jimenez-kasintseva-victoria-pridankina-elena-Cb6CRegM/#ah;2;-0.50;2","-0.5","1.83","1.91","1.81","1.89","","","","","1.83","1.91","","","","","","",""
"CSV","0000035","20250225|095808","20250224_1605604_070327_073771","R04_1_SVK_W75 Trnava","Jimenez Kasintseva","Pridankina","|K|0.535115|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/jimenez-kasintseva-victoria-pridankina-elena-Cb6CRegM/#ah;2;-1.50;2","-1.5","1.95","1.79","1.93","1.77","","","","","1.95","1.79","","","","","","",""
"CSV","0000035","20250225|095814","20250224_1605604_070327_073771","R04_1_SVK_W75 Trnava","Jimenez Kasintseva","Pridankina","|K|0.535115|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/jimenez-kasintseva-victoria-pridankina-elena-Cb6CRegM/#ah;2;1.50;1","1.5","","","1.33","3.05","","","","","1.33","3.05","","","","","","",""
"CSV","0000035","20250225|095812","20250224_1605604_070327_073771","R04_1_SVK_W75 Trnava","Jimenez Kasintseva","Pridankina","|K|0.535115|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/jimenez-kasintseva-victoria-pridankina-elena-Cb6CRegM/#ah;2;-1.50;1","-1.5","","","2.7","1.4","","","","","2.7","1.4","","","","","","",""
"CSV","0000035","20250225|095802","20250224_1605604_070327_073771","R04_1_SVK_W75 Trnava","Jimenez Kasintseva","Pridankina","|K|0.535115|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/jimenez-kasintseva-victoria-pridankina-elena-Cb6CRegM/","","","","1.75","1.95","","","1.77","1.95","1.78","1.98","","","","","","",""
"CSV","0000036","20250225|095824","20250224_1605604_065417_031727","R04_1_SVK_W75 Trnava","Ruzic","Gao","|K|0.554322|EK|G||OL1|1.94032|EOL1|OL2|2.304|EOL2|OH1|2.534|EOH1|OH2|3.0375|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/ruzic-antonia-gao-xinyu-hIRote8F/#ah;2;-2.50;2","-2.5","1.87","1.87","1.88","1.82","","","","","1.88","1.87","","","","","","",""
"CSV","0000036","20250225|095826","20250224_1605604_065417_031727","R04_1_SVK_W75 Trnava","Ruzic","Gao","|K|0.554322|EK|G||OL1|1.94032|EOL1|OL2|2.304|EOL2|OH1|2.534|EOH1|OH2|3.0375|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/ruzic-antonia-gao-xinyu-hIRote8F/#ah;2;-3.50;2","-3.5","2.09","1.69","","","","","","","2.09","1.69","","","","","","",""
"CSV","0000036","20250225|095830","20250224_1605604_065417_031727","R04_1_SVK_W75 Trnava","Ruzic","Gao","|K|0.554322|EK|G||OL1|1.94032|EOL1|OL2|2.304|EOL2|OH1|2.534|EOH1|OH2|3.0375|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/ruzic-antonia-gao-xinyu-hIRote8F/#ah;2;1.50;1","1.5","1.27","3.52","1.27","3.4","","","","","1.27","3.52","","","","","","",""
"CSV","0000036","20250225|095828","20250224_1605604_065417_031727","R04_1_SVK_W75 Trnava","Ruzic","Gao","|K|0.554322|EK|G||OL1|1.94032|EOL1|OL2|2.304|EOL2|OH1|2.534|EOH1|OH2|3.0375|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/ruzic-antonia-gao-xinyu-hIRote8F/#ah;2;-1.50;1","-1.5","2.44","1.52","2.44","1.49","","","","","2.44","1.52","","","","","","",""
"CSV","0000036","20250225|095818","20250224_1605604_065417_031727","R04_1_SVK_W75 Trnava","Ruzic","Gao","|K|0.554322|EK|G||OL1|1.94032|EOL1|OL2|2.304|EOL2|OH1|2.534|EOH1|OH2|3.0375|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/slovakia/itf-w75-trnava-women/ruzic-antonia-gao-xinyu-hIRote8F/","","1.63","2.2","1.6","2.2","","","1.6","2.2","1.63","2.26","","","","","","",""
