"FDM","0000001","20241029|123735","20241028_2017409_082922_115637","R09_0_ITA_M15 Selva Gardena","De Bernardis/Taddia","Fondriest/Vedovelli","|K|0.458574|EK|G||OL1|2.2995|EOL1|OL2|1.89995|EOL2|OH1|1|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-selva-gardena-men-doubles/de-bernardis-alessio-taddia-leonardo-fondriest-matteo-vedovelli-stefan-rLHhVW8L/","","","","","","","","","","","","","","","","","",""
"CSM","0000004","20241029|123817","20241028_2012504_052934_012534","R04_1_ECU_Guayaquil Challenger","Cerundolo","Olivo","|K|0.897032|EK|G||OL1|1.21|EOL1|OL2|10.3518|EOL2|OH1|112|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1816|ENAOL1|NAOL2|10.7892|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.423|134.262|5.947|561.074|AH-2.5|1.29|121.689|5.947|561.074|AH-2|1.29|121.689|8.144|768.262|AH-1.5|1.219|114.964|8.144|768.262||AH1.5|1.167|106.059|19.255|1750.41|AH2|1.167|106.059|20.987|1907.92|AH2.5|1.161|105.531|20.987|1907.92|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.8519|6|2.64558|1|EK-1.5||K21|3.96065|6|8.56346|1|EK21||K1.5|1.54|1|56.3818|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/cerundolo-juan-manuel-olivo-renzo-byf3hGzA/#ah;2;-4.50;2","-4.5","1.48","2.7","1.43","2.62","","","","","1.48","2.7","","","","","","",""
"CSM","0000004","20241029|123815","20241028_2012504_052934_012534","R04_1_ECU_Guayaquil Challenger","Cerundolo","Olivo","|K|0.897032|EK|G||OL1|1.21|EOL1|OL2|10.3518|EOL2|OH1|112|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1816|ENAOL1|NAOL2|10.7892|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.423|134.262|5.947|561.074|AH-2.5|1.29|121.689|5.947|561.074|AH-2|1.29|121.689|8.144|768.262|AH-1.5|1.219|114.964|8.144|768.262||AH1.5|1.167|106.059|19.255|1750.41|AH2|1.167|106.059|20.987|1907.92|AH2.5|1.161|105.531|20.987|1907.92|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.8519|6|2.64558|1|EK-1.5||K21|3.96065|6|8.56346|1|EK21||K1.5|1.54|1|56.3818|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/cerundolo-juan-manuel-olivo-renzo-byf3hGzA/#ah;2;-5.50;2","-5.5","1.81","2.03","1.75","1.95","","","","","1.81","2.03","","","","","","",""
"CSM","0000004","20241029|123819","20241028_2012504_052934_012534","R04_1_ECU_Guayaquil Challenger","Cerundolo","Olivo","|K|0.897032|EK|G||OL1|1.21|EOL1|OL2|10.3518|EOL2|OH1|112|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1816|ENAOL1|NAOL2|10.7892|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.423|134.262|5.947|561.074|AH-2.5|1.29|121.689|5.947|561.074|AH-2|1.29|121.689|8.144|768.262|AH-1.5|1.219|114.964|8.144|768.262||AH1.5|1.167|106.059|19.255|1750.41|AH2|1.167|106.059|20.987|1907.92|AH2.5|1.161|105.531|20.987|1907.92|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.8519|6|2.64558|1|EK-1.5||K21|3.96065|6|8.56346|1|EK21||K1.5|1.54|1|56.3818|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/cerundolo-juan-manuel-olivo-renzo-byf3hGzA/#ah;2;-1.50;1","-1.5","1.41","2.95","1.38","2.8","","","","","1.41","2.95","","","","","","",""
"CSM","0000004","20241029|123810","20241028_2012504_052934_012534","R04_1_ECU_Guayaquil Challenger","Cerundolo","Olivo","|K|0.897032|EK|G||OL1|1.21|EOL1|OL2|10.3518|EOL2|OH1|112|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1816|ENAOL1|NAOL2|10.7892|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.423|134.262|5.947|561.074|AH-2.5|1.29|121.689|5.947|561.074|AH-2|1.29|121.689|8.144|768.262|AH-1.5|1.219|114.964|8.144|768.262||AH1.5|1.167|106.059|19.255|1750.41|AH2|1.167|106.059|20.987|1907.92|AH2.5|1.161|105.531|20.987|1907.92|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.8519|6|2.64558|1|EK-1.5||K21|3.96065|6|8.56346|1|EK21||K1.5|1.54|1|56.3818|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/cerundolo-juan-manuel-olivo-renzo-byf3hGzA/","","1.11","7.0","1.09","6.15","","","1.1","6.5","1.11","7.66","","","","","","",""
"CSM","0000005","20241029|123832","20241028_2012504_083794_086348","R04_1_ECU_Guayaquil Challenger","Rocha","Campana Lee","|K|0.566552|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.602|245.452|1.996|188.32|AH-2.5|2.26|213.224|1.996|188.32|AH-2|2.26|213.224|2.11|199.015|AH-1.5|2.131|200.995|2.11|199.015||AH1.5|1.926|175.11|2.565|233.138|AH2|1.926|175.11|2.778|252.519|AH2.5|1.821|165.566|2.778|252.519|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.97732|6|1.66772|6|EK-1.5||K21|4.94606|6|5.9163|6|EK21||K1.5|1.54|6|4.6599|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/rocha-henrique-lee-gerard-campana-K4NTOmb2/#ah;2;-1.50;2","-1.5","1.78","2.06","1.72","2.0","","","","","1.78","2.06","","","","","","",""
"CSM","0000005","20241029|123830","20241028_2012504_083794_086348","R04_1_ECU_Guayaquil Challenger","Rocha","Campana Lee","|K|0.566552|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.602|245.452|1.996|188.32|AH-2.5|2.26|213.224|1.996|188.32|AH-2|2.26|213.224|2.11|199.015|AH-1.5|2.131|200.995|2.11|199.015||AH1.5|1.926|175.11|2.565|233.138|AH2|1.926|175.11|2.778|252.519|AH2.5|1.821|165.566|2.778|252.519|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.97732|6|1.66772|6|EK-1.5||K21|4.94606|6|5.9163|6|EK21||K1.5|1.54|6|4.6599|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/rocha-henrique-lee-gerard-campana-K4NTOmb2/#ah;2;-2.50;2","-2.5","1.93","1.89","1.87","1.83","","","","","1.93","1.89","","","","","","",""
"CSM","0000005","20241029|123837","20241028_2012504_083794_086348","R04_1_ECU_Guayaquil Challenger","Rocha","Campana Lee","|K|0.566552|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.602|245.452|1.996|188.32|AH-2.5|2.26|213.224|1.996|188.32|AH-2|2.26|213.224|2.11|199.015|AH-1.5|2.131|200.995|2.11|199.015||AH1.5|1.926|175.11|2.565|233.138|AH2|1.926|175.11|2.778|252.519|AH2.5|1.821|165.566|2.778|252.519|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.97732|6|1.66772|6|EK-1.5||K21|4.94606|6|5.9163|6|EK21||K1.5|1.54|6|4.6599|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/rocha-henrique-lee-gerard-campana-K4NTOmb2/#ah;2;1.50;1","1.5","1.27","3.82","1.25","3.57","","","","","1.27","3.82","","","","","","",""
"CSM","0000005","20241029|123834","20241028_2012504_083794_086348","R04_1_ECU_Guayaquil Challenger","Rocha","Campana Lee","|K|0.566552|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.602|245.452|1.996|188.32|AH-2.5|2.26|213.224|1.996|188.32|AH-2|2.26|213.224|2.11|199.015|AH-1.5|2.131|200.995|2.11|199.015||AH1.5|1.926|175.11|2.565|233.138|AH2|1.926|175.11|2.778|252.519|AH2.5|1.821|165.566|2.778|252.519|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.97732|6|1.66772|6|EK-1.5||K21|4.94606|6|5.9163|6|EK21||K1.5|1.54|6|4.6599|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/rocha-henrique-lee-gerard-campana-K4NTOmb2/#ah;2;-1.50;1","-1.5","2.51","1.54","2.4","1.5","","","","","2.51","1.54","","","","","","",""
"CSM","0000005","20241029|123824","20241028_2012504_083794_086348","R04_1_ECU_Guayaquil Challenger","Rocha","Campana Lee","|K|0.566552|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.602|245.452|1.996|188.32|AH-2.5|2.26|213.224|1.996|188.32|AH-2|2.26|213.224|2.11|199.015|AH-1.5|2.131|200.995|2.11|199.015||AH1.5|1.926|175.11|2.565|233.138|AH2|1.926|175.11|2.778|252.519|AH2.5|1.821|165.566|2.778|252.519|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.97732|6|1.66772|6|EK-1.5||K21|4.94606|6|5.9163|6|EK21||K1.5|1.54|6|4.6599|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/ecuador/guayaquil-challenger-men/rocha-henrique-lee-gerard-campana-K4NTOmb2/","","1.64","2.29","1.59","2.21","","","1.6","2.28","1.64","2.29","","","","","","",""
"CSM","0000006","20241029|123847","20241028_2012404_073399_050382","R04_1_USA_Charlottesville Challenger","Kodat","Jubb","|K|0.247423|EK|G||OL1|4.31325|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.4955|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|8.871|836.871|1.252|118.126|AH-2.5|6.908|651.705|1.252|118.126|AH-2|6.908|651.705|1.298|122.407|AH-1.5|5.791|546.285|1.298|122.407||AH1.5|4.129|375.396|1.499|136.311|AH2|4.129|375.396|1.605|145.921|AH2.5|3.495|317.764|1.605|145.921|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|10.5127|1|1.54|6|EK-1.5||K21|7.68646|1|4.64097|6|EK21||K1.5|2.24041|6|2.0963|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/charlottesville-challenger-men/kodat-toby-alex-jubb-paul-K81EWv0B/#ah;2;4.50;2","4.5","1.77","2.07","1.72","2.0","","","","","1.77","2.07","","","","","","",""
"CSM","0000006","20241029|123853","20241028_2012404_073399_050382","R04_1_USA_Charlottesville Challenger","Kodat","Jubb","|K|0.247423|EK|G||OL1|4.31325|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.4955|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|8.871|836.871|1.252|118.126|AH-2.5|6.908|651.705|1.252|118.126|AH-2|6.908|651.705|1.298|122.407|AH-1.5|5.791|546.285|1.298|122.407||AH1.5|4.129|375.396|1.499|136.311|AH2|4.129|375.396|1.605|145.921|AH2.5|3.495|317.764|1.605|145.921|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|10.5127|1|1.54|6|EK-1.5||K21|7.68646|1|4.64097|6|EK21||K1.5|2.24041|6|2.0963|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/charlottesville-challenger-men/kodat-toby-alex-jubb-paul-K81EWv0B/#ah;2;1.50;1","1.5","2.03","1.8","1.95","1.75","","","","","2.03","1.8","","","","","","",""
"CSM","0000006","20241029|123851","20241028_2012404_073399_050382","R04_1_USA_Charlottesville Challenger","Kodat","Jubb","|K|0.247423|EK|G||OL1|4.31325|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.4955|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|8.871|836.871|1.252|118.126|AH-2.5|6.908|651.705|1.252|118.126|AH-2|6.908|651.705|1.298|122.407|AH-1.5|5.791|546.285|1.298|122.407||AH1.5|4.129|375.396|1.499|136.311|AH2|4.129|375.396|1.605|145.921|AH2.5|3.495|317.764|1.605|145.921|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|10.5127|1|1.54|6|EK-1.5||K21|7.68646|1|4.64097|6|EK21||K1.5|2.24041|6|2.0963|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/charlottesville-challenger-men/kodat-toby-alex-jubb-paul-K81EWv0B/#ah;2;-1.50;1","-1.5","7.45","1.1","6.5","1.08","","","","","7.45","1.1","","","","","","",""
"CSM","0000006","20241029|123841","20241028_2012404_073399_050382","R04_1_USA_Charlottesville Challenger","Kodat","Jubb","|K|0.247423|EK|G||OL1|4.31325|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.4955|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|8.871|836.871|1.252|118.126|AH-2.5|6.908|651.705|1.252|118.126|AH-2|6.908|651.705|1.298|122.407|AH-1.5|5.791|546.285|1.298|122.407||AH1.5|4.129|375.396|1.499|136.311|AH2|4.129|375.396|1.605|145.921|AH2.5|3.495|317.764|1.605|145.921|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|10.5127|1|1.54|6|EK-1.5||K21|7.68646|1|4.64097|6|EK21||K1.5|2.24041|6|2.0963|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/charlottesville-challenger-men/kodat-toby-alex-jubb-paul-K81EWv0B/","","3.59","1.3","3.3","1.28","","","3.5","1.28","3.59","1.3","","","","","","",""
