"DV","0000007","20250308|141913","20250303_1595505_094917_099042","R05_3_USA_BNP Paribas Open - Indian Wells","Putintseva/Tauson","Ostapenko/Perez","|K|0.210617|EK|G||OL1|4.93525|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA||NAOL1|5.4055|ENAOL1|NAOL2|1.29794|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-indian-wells-doubles/putintseva-yulia-tauson-clara-ostapenko-jelena-perez-ellen-YVHs2Bek/","","3.19","1.35","3.1","1.32","","","","","3.19","1.35","","","","","","",""
"SM","0000010","20250308|141946","20250303_2032806_029812_030470","R06_3_USA_BNP Paribas Open - Indian Wells","Berrettini","Tsitsipas","|K|0.543046|EK|G||OL1|2.146|EOL1|OL2|2.5404|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.0535|ENAOL1|NAOL2|2.4309|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/berrettini-matteo-tsitsipas-stefanos-ttmi3Bml/","","2.25","1.67","2.22","1.66","","","2.2","1.67","2.25","1.67","","","","","","",""
"SM","0000011","20250308|142013","20250303_2032806_092985_022807","R06_3_USA_BNP Paribas Open - Indian Wells","Michelsen","Medvedev","|K|0.251956|EK|G||OL1|4.2082|EOL1|OL2|1.5544|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA||NAOL1|4.35509|ENAOL1|NAOL2|1.4874|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/michelsen-alex-medvedev-daniil-vgGZvd6M/#ah;2;4.50;2","4.5","1.61","2.38","1.58","2.37","","","1.44","2.7","1.61","2.7","","","","","","",""
"SM","0000011","20250308|142010","20250303_2032806_092985_022807","R06_3_USA_BNP Paribas Open - Indian Wells","Michelsen","Medvedev","|K|0.251956|EK|G||OL1|4.2082|EOL1|OL2|1.5544|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA||NAOL1|4.35509|ENAOL1|NAOL2|1.4874|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/michelsen-alex-medvedev-daniil-vgGZvd6M/#ah;2;3.50;2","3.5","1.97","1.87","1.94","1.86","","","1.95","1.83","1.97","1.87","","","","","","",""
"SM","0000011","20250308|142018","20250303_2032806_092985_022807","R06_3_USA_BNP Paribas Open - Indian Wells","Michelsen","Medvedev","|K|0.251956|EK|G||OL1|4.2082|EOL1|OL2|1.5544|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA||NAOL1|4.35509|ENAOL1|NAOL2|1.4874|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/michelsen-alex-medvedev-daniil-vgGZvd6M/#ah;2;1.50;1","1.5","1.75","2.13","1.73","2.07","","","1.8","1.98","1.8","2.13","","","","","","",""
"SM","0000011","20250308|142016","20250303_2032806_092985_022807","R06_3_USA_BNP Paribas Open - Indian Wells","Michelsen","Medvedev","|K|0.251956|EK|G||OL1|4.2082|EOL1|OL2|1.5544|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA||NAOL1|4.35509|ENAOL1|NAOL2|1.4874|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/michelsen-alex-medvedev-daniil-vgGZvd6M/#ah;2;-1.50;1","-1.5","5.62","1.16","5.1","1.14","","","6.1","1.13","6.1","1.16","","","","","","",""
"SM","0000011","20250308|142003","20250303_2032806_092985_022807","R06_3_USA_BNP Paribas Open - Indian Wells","Michelsen","Medvedev","|K|0.251956|EK|G||OL1|4.2082|EOL1|OL2|1.5544|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA||NAOL1|4.35509|ENAOL1|NAOL2|1.4874|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/michelsen-alex-medvedev-daniil-vgGZvd6M/","","3.1","1.39","3.05","1.38","","","3.25","1.34","3.25","1.39","","","","","","",""
"SM","0000012","20250308|142032","20250303_2032806_029935_027851","R06_3_USA_BNP Paribas Open - Indian Wells","Paul","Norrie","|K|0.742632|EK|G||OL1|1.566|EOL1|OL2|4.1234|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.26733|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-norrie-cameron-WhAnNy4t/#ah;2;-3.50;2","-3.5","1.7","2.2","1.68","2.18","","","1.72","2.08","1.72","2.2","","","","","","",""
"SM","0000012","20250308|142030","20250303_2032806_029935_027851","R06_3_USA_BNP Paribas Open - Indian Wells","Paul","Norrie","|K|0.742632|EK|G||OL1|1.566|EOL1|OL2|4.1234|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.26733|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-norrie-cameron-WhAnNy4t/#ah;2;-4.50;2","-4.5","2.11","1.76","2.06","1.76","","","2.25","1.62","2.25","1.76","","","","","","",""
"SM","0000012","20250308|142037","20250303_2032806_029935_027851","R06_3_USA_BNP Paribas Open - Indian Wells","Paul","Norrie","|K|0.742632|EK|G||OL1|1.566|EOL1|OL2|4.1234|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.26733|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-norrie-cameron-WhAnNy4t/#ah;2;1.50;1","1.5","1.12","6.71","1.11","6.0","","","1.12","6.5","1.12","6.71","","","","","","",""
"SM","0000012","20250308|142034","20250303_2032806_029935_027851","R06_3_USA_BNP Paribas Open - Indian Wells","Paul","Norrie","|K|0.742632|EK|G||OL1|1.566|EOL1|OL2|4.1234|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.26733|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-norrie-cameron-WhAnNy4t/#ah;2;-1.50;1","-1.5","1.94","1.89","1.9","1.84","","","1.89","1.89","1.94","1.89","","","","","","",""
"SM","0000012","20250308|142022","20250303_2032806_029935_027851","R06_3_USA_BNP Paribas Open - Indian Wells","Paul","Norrie","|K|0.742632|EK|G||OL1|1.566|EOL1|OL2|4.1234|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.26733|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-norrie-cameron-WhAnNy4t/","","1.31","3.57","1.31","3.45","","","1.3","3.5","1.31","3.57","","","","","","",""
