"SV","0000043","20240823|135425","20240826_1524404_045854_045072","R04_4_USA_U.S. Open - New York","Swiatek","Rakhimova","|K|0.998967|EK|G||OL1|1.1312|EOL1|OL2|976.419|EOL2|OH1|101|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1312|ENAOL1|NAOL2|1055.77|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open/swiatek-iga-rakhimova-kamilla-zu0CZAyP/","","1.01","32.82","1.01","17.3","","","1.02","17.0","1.03","32.82","","","","","","",""
"SV","0000046","20240823|135515","20240819_1524310_013094_017501","R10_2_USA_Tennis in the Land - Cleveland","Haddad Maia","Siniakova","|K|0.597287|EK|G||OL1|1.8816|EOL1|OL2|2.51241|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA||NAOL1|1.8816|ENAOL1|NAOL2|2.71659|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.738|4.458|1.539|1.835|AH-5|3.738|4.458|1.705|2.033|AH-4|3.023|3.606|1.918|2.287|AH-3.5|2.525|3.012|1.918|2.287|AH-3|2.525|3.012|2.163|2.579|AH-2.5|2.198|2.621|2.163|2.579|AH-2|2.198|2.621|2.304|2.748|AH-1.5|2.069|2.467|2.304|2.748||AH1.5|1.822|166.382|2.745|250.644|AH2|1.822|166.382|2.933|267.84|AH2.5|1.747|159.58|2.933|267.84|AH3|1.747|159.58|3.308|302.07|AH3.5|1.637|149.488|3.308|302.07|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.89143|5.5|1.72006|1|EK-1.5||K21|6.06482|5.5|6.32608|5.5|EK21||K1.5|1.36747|1|4.70041|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/haddad-maia-beatriz-siniakova-katerina-jT9vDBto/#ah;2;-2.50;2","-2.5","1.86","2.02","1.79","1.91","","","","","1.86","2.02","","","","","","",""
"SV","0000046","20240823|135518","20240819_1524310_013094_017501","R10_2_USA_Tennis in the Land - Cleveland","Haddad Maia","Siniakova","|K|0.597287|EK|G||OL1|1.8816|EOL1|OL2|2.51241|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA||NAOL1|1.8816|ENAOL1|NAOL2|2.71659|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.738|4.458|1.539|1.835|AH-5|3.738|4.458|1.705|2.033|AH-4|3.023|3.606|1.918|2.287|AH-3.5|2.525|3.012|1.918|2.287|AH-3|2.525|3.012|2.163|2.579|AH-2.5|2.198|2.621|2.163|2.579|AH-2|2.198|2.621|2.304|2.748|AH-1.5|2.069|2.467|2.304|2.748||AH1.5|1.822|166.382|2.745|250.644|AH2|1.822|166.382|2.933|267.84|AH2.5|1.747|159.58|2.933|267.84|AH3|1.747|159.58|3.308|302.07|AH3.5|1.637|149.488|3.308|302.07|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.89143|5.5|1.72006|1|EK-1.5||K21|6.06482|5.5|6.32608|5.5|EK21||K1.5|1.36747|1|4.70041|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/haddad-maia-beatriz-siniakova-katerina-jT9vDBto/#ah;2;-3.50;2","-3.5","2.12","1.78","2.04","1.69","","","2.0","1.78","2.12","1.78","","","","","","",""
"SV","0000046","20240823|135523","20240819_1524310_013094_017501","R10_2_USA_Tennis in the Land - Cleveland","Haddad Maia","Siniakova","|K|0.597287|EK|G||OL1|1.8816|EOL1|OL2|2.51241|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA||NAOL1|1.8816|ENAOL1|NAOL2|2.71659|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.738|4.458|1.539|1.835|AH-5|3.738|4.458|1.705|2.033|AH-4|3.023|3.606|1.918|2.287|AH-3.5|2.525|3.012|1.918|2.287|AH-3|2.525|3.012|2.163|2.579|AH-2.5|2.198|2.621|2.163|2.579|AH-2|2.198|2.621|2.304|2.748|AH-1.5|2.069|2.467|2.304|2.748||AH1.5|1.822|166.382|2.745|250.644|AH2|1.822|166.382|2.933|267.84|AH2.5|1.747|159.58|2.933|267.84|AH3|1.747|159.58|3.308|302.07|AH3.5|1.637|149.488|3.308|302.07|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.89143|5.5|1.72006|1|EK-1.5||K21|6.06482|5.5|6.32608|5.5|EK21||K1.5|1.36747|1|4.70041|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/haddad-maia-beatriz-siniakova-katerina-jT9vDBto/#ah;2;1.50;1","1.5","1.25","4.34","1.22","3.83","","","1.22","4.35","1.25","4.35","","","","","","",""
"SV","0000046","20240823|135521","20240819_1524310_013094_017501","R10_2_USA_Tennis in the Land - Cleveland","Haddad Maia","Siniakova","|K|0.597287|EK|G||OL1|1.8816|EOL1|OL2|2.51241|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA||NAOL1|1.8816|ENAOL1|NAOL2|2.71659|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.738|4.458|1.539|1.835|AH-5|3.738|4.458|1.705|2.033|AH-4|3.023|3.606|1.918|2.287|AH-3.5|2.525|3.012|1.918|2.287|AH-3|2.525|3.012|2.163|2.579|AH-2.5|2.198|2.621|2.163|2.579|AH-2|2.198|2.621|2.304|2.748|AH-1.5|2.069|2.467|2.304|2.748||AH1.5|1.822|166.382|2.745|250.644|AH2|1.822|166.382|2.933|267.84|AH2.5|1.747|159.58|2.933|267.84|AH3|1.747|159.58|3.308|302.07|AH3.5|1.637|149.488|3.308|302.07|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.89143|5.5|1.72006|1|EK-1.5||K21|6.06482|5.5|6.32608|5.5|EK21||K1.5|1.36747|1|4.70041|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/haddad-maia-beatriz-siniakova-katerina-jT9vDBto/#ah;2;-1.50;1","-1.5","2.55","1.56","2.39","1.51","","","2.32","1.6","2.55","1.6","","","","","","",""
"SV","0000046","20240823|135509","20240819_1524310_013094_017501","R10_2_USA_Tennis in the Land - Cleveland","Haddad Maia","Siniakova","|K|0.597287|EK|G||OL1|1.8816|EOL1|OL2|2.51241|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA||NAOL1|1.8816|ENAOL1|NAOL2|2.71659|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.738|4.458|1.539|1.835|AH-5|3.738|4.458|1.705|2.033|AH-4|3.023|3.606|1.918|2.287|AH-3.5|2.525|3.012|1.918|2.287|AH-3|2.525|3.012|2.163|2.579|AH-2.5|2.198|2.621|2.163|2.579|AH-2|2.198|2.621|2.304|2.748|AH-1.5|2.069|2.467|2.304|2.748||AH1.5|1.822|166.382|2.745|250.644|AH2|1.822|166.382|2.933|267.84|AH2.5|1.747|159.58|2.933|267.84|AH3|1.747|159.58|3.308|302.07|AH3.5|1.637|149.488|3.308|302.07|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.89143|5.5|1.72006|1|EK-1.5||K21|6.06482|5.5|6.32608|5.5|EK21||K1.5|1.36747|1|4.70041|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-cleveland/haddad-maia-beatriz-siniakova-katerina-jT9vDBto/","","","","1.53","2.35","","","1.53","2.5","1.59","2.5","","","","","","",""
"CSV","0000047","20240823|135533","20240819_1568109_014387_017122","R09_1_PER_W50 Arequipa","Alves","Estable","|K|0.60063|EK|G||OL1|1.77855|EOL1|OL2|2.57275|EOL2|OH1|2.338|EOH1|OH2|3.3383|EOH2|EG|NA|NOT|ENA||AH-5.5|2.996|292.57|1.556|151.929|AH-5|2.996|292.57|1.909|186.423|AH-4|2.209|215.709|2.228|217.581|AH-3.5|1.895|185.048|2.228|217.581|AH-3|1.895|185.048|2.399|234.296|AH-2.5|1.786|174.463|2.399|234.296|AH-2|1.786|174.463|2.685|262.244|AH-1.5|1.655|161.636|2.685|262.244||AH1.5|1.553|148.869|3.177|304.629|AH2|1.553|148.869|3.324|318.669|AH2.5|1.52|145.731|3.324|318.669|AH3|1.52|145.731|3.642|349.199|AH3.5|1.462|140.129|3.642|349.199|AH4|1.462|140.129|4.703|450.88|AH4.5|1.34|128.5|4.703|450.88|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.80791|5.6|1.78522|5.6|EK-1.5||K21|5.40141|5.6|8.73552|1|EK21||K1.5|1.5|1|4.77807|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/alves-carolina-estable-lara-julieta-KpBfLGMi/#ah;2;-2.50;2","-2.5","2.01","1.78","1.93","1.77","","","","","2.01","1.78","","","","","","",""
"CSV","0000047","20240823|135540","20240819_1568109_014387_017122","R09_1_PER_W50 Arequipa","Alves","Estable","|K|0.60063|EK|G||OL1|1.77855|EOL1|OL2|2.57275|EOL2|OH1|2.338|EOH1|OH2|3.3383|EOH2|EG|NA|NOT|ENA||AH-5.5|2.996|292.57|1.556|151.929|AH-5|2.996|292.57|1.909|186.423|AH-4|2.209|215.709|2.228|217.581|AH-3.5|1.895|185.048|2.228|217.581|AH-3|1.895|185.048|2.399|234.296|AH-2.5|1.786|174.463|2.399|234.296|AH-2|1.786|174.463|2.685|262.244|AH-1.5|1.655|161.636|2.685|262.244||AH1.5|1.553|148.869|3.177|304.629|AH2|1.553|148.869|3.324|318.669|AH2.5|1.52|145.731|3.324|318.669|AH3|1.52|145.731|3.642|349.199|AH3.5|1.462|140.129|3.642|349.199|AH4|1.462|140.129|4.703|450.88|AH4.5|1.34|128.5|4.703|450.88|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.80791|5.6|1.78522|5.6|EK-1.5||K21|5.40141|5.6|8.73552|1|EK21||K1.5|1.5|1|4.77807|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/alves-carolina-estable-lara-julieta-KpBfLGMi/#ah;2;1.50;1","1.5","1.35","3.12","1.33","3.05","","","","","1.35","3.12","","","","","","",""
"CSV","0000047","20240823|135538","20240819_1568109_014387_017122","R09_1_PER_W50 Arequipa","Alves","Estable","|K|0.60063|EK|G||OL1|1.77855|EOL1|OL2|2.57275|EOL2|OH1|2.338|EOH1|OH2|3.3383|EOH2|EG|NA|NOT|ENA||AH-5.5|2.996|292.57|1.556|151.929|AH-5|2.996|292.57|1.909|186.423|AH-4|2.209|215.709|2.228|217.581|AH-3.5|1.895|185.048|2.228|217.581|AH-3|1.895|185.048|2.399|234.296|AH-2.5|1.786|174.463|2.399|234.296|AH-2|1.786|174.463|2.685|262.244|AH-1.5|1.655|161.636|2.685|262.244||AH1.5|1.553|148.869|3.177|304.629|AH2|1.553|148.869|3.324|318.669|AH2.5|1.52|145.731|3.324|318.669|AH3|1.52|145.731|3.642|349.199|AH3.5|1.462|140.129|3.642|349.199|AH4|1.462|140.129|4.703|450.88|AH4.5|1.34|128.5|4.703|450.88|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.80791|5.6|1.78522|5.6|EK-1.5||K21|5.40141|5.6|8.73552|1|EK21||K1.5|1.5|1|4.77807|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/alves-carolina-estable-lara-julieta-KpBfLGMi/#ah;2;-1.50;1","-1.5","2.55","1.5","2.5","1.47","","","","","2.55","1.5","","","","","","",""
"CSV","0000047","20240823|135528","20240819_1568109_014387_017122","R09_1_PER_W50 Arequipa","Alves","Estable","|K|0.60063|EK|G||OL1|1.77855|EOL1|OL2|2.57275|EOL2|OH1|2.338|EOH1|OH2|3.3383|EOH2|EG|NA|NOT|ENA||AH-5.5|2.996|292.57|1.556|151.929|AH-5|2.996|292.57|1.909|186.423|AH-4|2.209|215.709|2.228|217.581|AH-3.5|1.895|185.048|2.228|217.581|AH-3|1.895|185.048|2.399|234.296|AH-2.5|1.786|174.463|2.399|234.296|AH-2|1.786|174.463|2.685|262.244|AH-1.5|1.655|161.636|2.685|262.244||AH1.5|1.553|148.869|3.177|304.629|AH2|1.553|148.869|3.324|318.669|AH2.5|1.52|145.731|3.324|318.669|AH3|1.52|145.731|3.642|349.199|AH3.5|1.462|140.129|3.642|349.199|AH4|1.462|140.129|4.703|450.88|AH4.5|1.34|128.5|4.703|450.88|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.80791|5.6|1.78522|5.6|EK-1.5||K21|5.40141|5.6|8.73552|1|EK21||K1.5|1.5|1|4.77807|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/alves-carolina-estable-lara-julieta-KpBfLGMi/","","1.77","2.02","1.73","1.97","","","1.65","2.1","1.77","2.1","","","","","","",""
"CSV","0000048","20240823|135555","20240819_1568109_052398_012439","R09_1_PER_W50 Arequipa","Ortenzi","Sanchez","|K|0.779344|EK|G||OL1|1.37385|EOL1|OL2|4.6535|EOL2|OH1|1.806|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.16|210.973|1.947|190.112|AH-5|2.16|210.973|2.401|234.502|AH-4|1.785|174.348|3.051|297.939|AH-3.5|1.541|150.521|3.051|297.939|AH-3|1.541|150.521|3.946|385.393|AH-2.5|1.383|135.039|3.946|385.393|AH-2|1.383|135.039|4.509|440.307|AH-1.5|1.325|129.385|4.509|440.307||AH1.5|1.247|119.554|6.377|611.413|AH2|1.247|119.554|6.579|630.738|AH2.5|1.24|118.842|6.579|630.738|AH3|1.24|118.842|6.303|604.274|AH3.5|1.25|119.83|6.303|604.274|AH4|1.25|119.83|9.037|866.458|AH4.5|1.179|113.047|9.037|866.458|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.03626|5.6|2.47649|5.6|EK-1.5||K21|5.02655|5.6|10.5319|1|EK21||K1.5|1.5|1|12.5687|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/ortenzi-jasmin-sanchez-ana-sofia-pngFbEGU/#ah;2;-5.00;2","-5.0","","","1.75","1.95","","","","","1.75","1.95","","","","","","",""
"CSV","0000048","20240823|135553","20240819_1568109_052398_012439","R09_1_PER_W50 Arequipa","Ortenzi","Sanchez","|K|0.779344|EK|G||OL1|1.37385|EOL1|OL2|4.6535|EOL2|OH1|1.806|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.16|210.973|1.947|190.112|AH-5|2.16|210.973|2.401|234.502|AH-4|1.785|174.348|3.051|297.939|AH-3.5|1.541|150.521|3.051|297.939|AH-3|1.541|150.521|3.946|385.393|AH-2.5|1.383|135.039|3.946|385.393|AH-2|1.383|135.039|4.509|440.307|AH-1.5|1.325|129.385|4.509|440.307||AH1.5|1.247|119.554|6.377|611.413|AH2|1.247|119.554|6.579|630.738|AH2.5|1.24|118.842|6.579|630.738|AH3|1.24|118.842|6.303|604.274|AH3.5|1.25|119.83|6.303|604.274|AH4|1.25|119.83|9.037|866.458|AH4.5|1.179|113.047|9.037|866.458|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.03626|5.6|2.47649|5.6|EK-1.5||K21|5.02655|5.6|10.5319|1|EK21||K1.5|1.5|1|12.5687|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/ortenzi-jasmin-sanchez-ana-sofia-pngFbEGU/#ah;2;-5.50;2","-5.5","","","1.94","1.76","","","","","1.94","1.76","","","","","","",""
"CSV","0000048","20240823|135545","20240819_1568109_052398_012439","R09_1_PER_W50 Arequipa","Ortenzi","Sanchez","|K|0.779344|EK|G||OL1|1.37385|EOL1|OL2|4.6535|EOL2|OH1|1.806|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.16|210.973|1.947|190.112|AH-5|2.16|210.973|2.401|234.502|AH-4|1.785|174.348|3.051|297.939|AH-3.5|1.541|150.521|3.051|297.939|AH-3|1.541|150.521|3.946|385.393|AH-2.5|1.383|135.039|3.946|385.393|AH-2|1.383|135.039|4.509|440.307|AH-1.5|1.325|129.385|4.509|440.307||AH1.5|1.247|119.554|6.377|611.413|AH2|1.247|119.554|6.579|630.738|AH2.5|1.24|118.842|6.579|630.738|AH3|1.24|118.842|6.303|604.274|AH3.5|1.25|119.83|6.303|604.274|AH4|1.25|119.83|9.037|866.458|AH4.5|1.179|113.047|9.037|866.458|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.03626|5.6|2.47649|5.6|EK-1.5||K21|5.02655|5.6|10.5319|1|EK21||K1.5|1.5|1|12.5687|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/peru/itf-w50-arequipa-women/ortenzi-jasmin-sanchez-ana-sofia-pngFbEGU/","","","","1.21","3.9","","","1.22","3.9","1.22","4.59","","","","","","",""
