"FSM","0000043","20241108|081027","20241104_2022409_007805_059165","R09_0_TUN_M25 Monastir","de Schepper","Vylegzhanin","|K|0.568106|EK|G||OL1|1.88328|EOL1|OL2|2.37568|EOL2|OH1|177|EOH1|OH2|3.48|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|251.991|251.991|190.547|190.547|AH-3.5|210.439|210.439|190.547|190.547|AH-3|210.439|210.439|212.97|212.97|AH-2.5|188.519|188.519|212.97|212.97|AH-2|188.519|188.519|227.008|227.008|AH-1.5|178.735|178.735|227.008|227.008||AH1.5|157.347|157.347|274.376|274.376|AH2|157.347|157.347|301.22|301.22|AH2.5|149.697|149.697|301.22|301.22|AH3|149.697|149.697|342.903|342.903|AH3.5|141.169|141.169|342.903|342.903|AH4|141.169|141.169|440.254|440.254|AH4.5|129.39|129.39|440.254|440.254|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-2-men/de-schepper-kenny-vylegzhanin-nikolay-8UurDgdt/","","","","","","","","1.57","2.25","1.57","2.33","","","","","","",""
"SM","0000047","20241108|081124","20241111_1942008_047275_039309","R08_3_ITA_Nitto ATP Finals - Turin","Sinner","De Minaur","|K|0.837275|EK|G||OL1|1.32|EOL1|OL2|6.73425|EOL2|OH1|1.74|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.332|ENAOL1|NAOL2|6.74655|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.534|4.696|1.578|2.098|AH-5|3.534|4.696|2.098|2.788|AH-4|2.273|3.021|3.072|4.083|AH-3.5|1.692|2.249|3.072|4.083|AH-3|1.692|2.249|4.569|6.072|AH-2.5|1.433|1.905|4.569|6.072|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.152|1.527|21.8|28.894|AH3|1.152|1.527|58.357|77.347|AH3.5|1.115|1.478|58.357|77.347|AH4|1.115|1.478|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.67394|7|3.19101|1|EK-1.5||K21|4.30344|7|8.18525|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/sinner-jannik-de-minaur-alex-WpvRRcel/#ah;2;-4.50;2","-4.5","1.71","2.21","1.65","2.1","","","1.73","2.1","1.73","2.21","","","","","","",""
"SM","0000047","20241108|081125","20241111_1942008_047275_039309","R08_3_ITA_Nitto ATP Finals - Turin","Sinner","De Minaur","|K|0.837275|EK|G||OL1|1.32|EOL1|OL2|6.73425|EOL2|OH1|1.74|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.332|ENAOL1|NAOL2|6.74655|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.534|4.696|1.578|2.098|AH-5|3.534|4.696|2.098|2.788|AH-4|2.273|3.021|3.072|4.083|AH-3.5|1.692|2.249|3.072|4.083|AH-3|1.692|2.249|4.569|6.072|AH-2.5|1.433|1.905|4.569|6.072|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.152|1.527|21.8|28.894|AH3|1.152|1.527|58.357|77.347|AH3.5|1.115|1.478|58.357|77.347|AH4|1.115|1.478|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.67394|7|3.19101|1|EK-1.5||K21|4.30344|7|8.18525|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/sinner-jannik-de-minaur-alex-WpvRRcel/#ah;2;-5.50;2","-5.5","2.3","1.66","2.12","1.64","","","","","2.3","1.66","","","","","","",""
"SM","0000047","20241108|081129","20241111_1942008_047275_039309","R08_3_ITA_Nitto ATP Finals - Turin","Sinner","De Minaur","|K|0.837275|EK|G||OL1|1.32|EOL1|OL2|6.73425|EOL2|OH1|1.74|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.332|ENAOL1|NAOL2|6.74655|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.534|4.696|1.578|2.098|AH-5|3.534|4.696|2.098|2.788|AH-4|2.273|3.021|3.072|4.083|AH-3.5|1.692|2.249|3.072|4.083|AH-3|1.692|2.249|4.569|6.072|AH-2.5|1.433|1.905|4.569|6.072|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.152|1.527|21.8|28.894|AH3|1.152|1.527|58.357|77.347|AH3.5|1.115|1.478|58.357|77.347|AH4|1.115|1.478|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.67394|7|3.19101|1|EK-1.5||K21|4.30344|7|8.18525|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/sinner-jannik-de-minaur-alex-WpvRRcel/#ah;2;1.50;1","1.5","1.06","10.82","1.05","8.2","","","1.05","12.0","1.06","12.0","","","","","","",""
"SM","0000047","20241108|081127","20241111_1942008_047275_039309","R08_3_ITA_Nitto ATP Finals - Turin","Sinner","De Minaur","|K|0.837275|EK|G||OL1|1.32|EOL1|OL2|6.73425|EOL2|OH1|1.74|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.332|ENAOL1|NAOL2|6.74655|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.534|4.696|1.578|2.098|AH-5|3.534|4.696|2.098|2.788|AH-4|2.273|3.021|3.072|4.083|AH-3.5|1.692|2.249|3.072|4.083|AH-3|1.692|2.249|4.569|6.072|AH-2.5|1.433|1.905|4.569|6.072|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.152|1.527|21.8|28.894|AH3|1.152|1.527|58.357|77.347|AH3.5|1.115|1.478|58.357|77.347|AH4|1.115|1.478|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.67394|7|3.19101|1|EK-1.5||K21|4.30344|7|8.18525|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/sinner-jannik-de-minaur-alex-WpvRRcel/#ah;2;-1.50;1","-1.5","1.54","2.58","1.49","2.44","","","1.5","2.6","1.54","2.6","","","","","","",""
"SM","0000047","20241108|081119","20241111_1942008_047275_039309","R08_3_ITA_Nitto ATP Finals - Turin","Sinner","De Minaur","|K|0.837275|EK|G||OL1|1.32|EOL1|OL2|6.73425|EOL2|OH1|1.74|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.332|ENAOL1|NAOL2|6.74655|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.534|4.696|1.578|2.098|AH-5|3.534|4.696|2.098|2.788|AH-4|2.273|3.021|3.072|4.083|AH-3.5|1.692|2.249|3.072|4.083|AH-3|1.692|2.249|4.569|6.072|AH-2.5|1.433|1.905|4.569|6.072|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.152|1.527|21.8|28.894|AH3|1.152|1.527|58.357|77.347|AH3.5|1.115|1.478|58.357|77.347|AH4|1.115|1.478|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.67394|7|3.19101|1|EK-1.5||K21|4.30344|7|8.18525|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin/sinner-jannik-de-minaur-alex-WpvRRcel/","","1.16","5.85","1.13","5.1","","","1.15","6.0","1.16","6.0","","","","","","",""
"SM","0000048","20241108|081140","20241111_1942008_068074_033648","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Ruud","|K|0.880502|EK|G||OL1|1.254|EOL1|OL2|9.16515|EOL2|OH1|1.653|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2654|ENAOL1|NAOL2|9.18189|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.343|4.443|1.62|2.152|AH-5|3.343|4.443|2.191|2.913|AH-4|2.173|2.888|3.352|4.455|AH-3.5|1.617|2.15|3.352|4.455|AH-3|1.617|2.15|5.729|7.615|AH-2.5|1.348|1.791|5.729|7.615|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.79173|7|2.80666|7|EK-1.5||K21|3.94363|7|8.72737|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-ruud-casper-dAzRN60U/#ah;2;-4.50;2","-4.5","1.84","2.02","1.91","1.79","","","","","1.91","2.02","","","","","","",""
"SM","0000048","20241108|081142","20241111_1942008_068074_033648","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Ruud","|K|0.880502|EK|G||OL1|1.254|EOL1|OL2|9.16515|EOL2|OH1|1.653|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2654|ENAOL1|NAOL2|9.18189|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.343|4.443|1.62|2.152|AH-5|3.343|4.443|2.191|2.913|AH-4|2.173|2.888|3.352|4.455|AH-3.5|1.617|2.15|3.352|4.455|AH-3|1.617|2.15|5.729|7.615|AH-2.5|1.348|1.791|5.729|7.615|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.79173|7|2.80666|7|EK-1.5||K21|3.94363|7|8.72737|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-ruud-casper-dAzRN60U/#ah;2;-5.50;2","-5.5","2.65","1.51","2.52","1.46","","","2.55","1.5","2.65","1.51","","","","","","",""
"SM","0000048","20241108|081145","20241111_1942008_068074_033648","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Ruud","|K|0.880502|EK|G||OL1|1.254|EOL1|OL2|9.16515|EOL2|OH1|1.653|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2654|ENAOL1|NAOL2|9.18189|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.343|4.443|1.62|2.152|AH-5|3.343|4.443|2.191|2.913|AH-4|2.173|2.888|3.352|4.455|AH-3.5|1.617|2.15|3.352|4.455|AH-3|1.617|2.15|5.729|7.615|AH-2.5|1.348|1.791|5.729|7.615|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.79173|7|2.80666|7|EK-1.5||K21|3.94363|7|8.72737|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-ruud-casper-dAzRN60U/#ah;2;1.50;1","1.5","1.05","13.1","1.04","8.7","","","1.04","13.0","1.05","13.1","","","","","","",""
"SM","0000048","20241108|081143","20241111_1942008_068074_033648","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Ruud","|K|0.880502|EK|G||OL1|1.254|EOL1|OL2|9.16515|EOL2|OH1|1.653|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2654|ENAOL1|NAOL2|9.18189|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.343|4.443|1.62|2.152|AH-5|3.343|4.443|2.191|2.913|AH-4|2.173|2.888|3.352|4.455|AH-3.5|1.617|2.15|3.352|4.455|AH-3|1.617|2.15|5.729|7.615|AH-2.5|1.348|1.791|5.729|7.615|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.79173|7|2.80666|7|EK-1.5||K21|3.94363|7|8.72737|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-ruud-casper-dAzRN60U/#ah;2;-1.50;1","-1.5","1.43","2.94","1.39","2.75","","","1.47","2.7","1.47","2.94","","","","","","",""
"SM","0000048","20241108|081132","20241111_1942008_068074_033648","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Ruud","|K|0.880502|EK|G||OL1|1.254|EOL1|OL2|9.16515|EOL2|OH1|1.653|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2654|ENAOL1|NAOL2|9.18189|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.343|4.443|1.62|2.152|AH-5|3.343|4.443|2.191|2.913|AH-4|2.173|2.888|3.352|4.455|AH-3.5|1.617|2.15|3.352|4.455|AH-3|1.617|2.15|5.729|7.615|AH-2.5|1.348|1.791|5.729|7.615|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.79173|7|2.80666|7|EK-1.5||K21|3.94363|7|8.72737|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-ruud-casper-dAzRN60U/","","1.12","7.34","1.1","6.0","","","1.13","6.5","1.13","7.61","","","","","","",""
