"SV","0000091","20240821|084104","20240826_1524402_018454_072414","R02_4_USA_U.S. Open - New York","Shymanovich","Joint","|K|0.212772|EK|G||OL1|4.7423|EOL1|OL2|1.4336|EOL2|OH1|1|EOH1|OH2|128|EOH2|EG|NA||NAOL1|5.1277|ENAOL1|NAOL2|1.4336|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open/shymanovich-iryna-joint-maya-Kte1GrS6/","","4.12","1.24","3.25","1.29","","","","","4.25","1.29","","","","","","",""
"SV","0000094","20240821|084148","20240819_1524305_013839_053793","R05_2_USA_Tennis in the Land - Cleveland","Sorribes Tormo","Stearns","|K|0.341053|EK|G||OL1|2.96646|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|152|EOH2|EG|NA||NAOL1|3.20754|ENAOL1|NAOL2|1.7024|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|7.706|9.19|1.27|1.514|AH-5|7.706|9.19|1.304|1.555|AH-4|6.637|7.916|1.377|1.642|AH-3.5|5.232|6.24|1.377|1.642|AH-3|5.232|6.24|1.421|1.694|AH-2.5|4.683|5.586|1.421|1.694|AH-2|4.683|5.586|1.471|1.755|AH-1.5|4.204|5.014|1.471|1.755||AH1.5|3.284|299.924|1.643|150.019|AH2|3.284|299.924|1.698|155.093|AH2.5|3.083|281.51|1.698|155.093|AH3|3.083|281.51|1.894|172.989|AH3.5|2.595|237.006|1.894|172.989|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.22042|1|1.32426|1|EK-1.5||K21|7.19511|5.5|5.79533|5.5|EK21||K1.5|1.83346|1|2.64706|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/sorribes-tormo-sara-stearns-peyton-h21vHQto/#ah;2;3.50;2","3.5","1.98","1.88","1.9","1.8","","","1.86","1.92","1.98","1.92","","","","","","",""
"SV","0000094","20240821|084150","20240819_1524305_013839_053793","R05_2_USA_Tennis in the Land - Cleveland","Sorribes Tormo","Stearns","|K|0.341053|EK|G||OL1|2.96646|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|152|EOH2|EG|NA||NAOL1|3.20754|ENAOL1|NAOL2|1.7024|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|7.706|9.19|1.27|1.514|AH-5|7.706|9.19|1.304|1.555|AH-4|6.637|7.916|1.377|1.642|AH-3.5|5.232|6.24|1.377|1.642|AH-3|5.232|6.24|1.421|1.694|AH-2.5|4.683|5.586|1.421|1.694|AH-2|4.683|5.586|1.471|1.755|AH-1.5|4.204|5.014|1.471|1.755||AH1.5|3.284|299.924|1.643|150.019|AH2|3.284|299.924|1.698|155.093|AH2.5|3.083|281.51|1.698|155.093|AH3|3.083|281.51|1.894|172.989|AH3.5|2.595|237.006|1.894|172.989|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.22042|1|1.32426|1|EK-1.5||K21|7.19511|5.5|5.79533|5.5|EK21||K1.5|1.83346|1|2.64706|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/sorribes-tormo-sara-stearns-peyton-h21vHQto/#ah;2;2.50;2","2.5","2.24","1.68","2.21","1.59","","","","","2.24","1.68","","","","","","",""
"SV","0000094","20240821|084154","20240819_1524305_013839_053793","R05_2_USA_Tennis in the Land - Cleveland","Sorribes Tormo","Stearns","|K|0.341053|EK|G||OL1|2.96646|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|152|EOH2|EG|NA||NAOL1|3.20754|ENAOL1|NAOL2|1.7024|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|7.706|9.19|1.27|1.514|AH-5|7.706|9.19|1.304|1.555|AH-4|6.637|7.916|1.377|1.642|AH-3.5|5.232|6.24|1.377|1.642|AH-3|5.232|6.24|1.421|1.694|AH-2.5|4.683|5.586|1.421|1.694|AH-2|4.683|5.586|1.471|1.755|AH-1.5|4.204|5.014|1.471|1.755||AH1.5|3.284|299.924|1.643|150.019|AH2|3.284|299.924|1.698|155.093|AH2.5|3.083|281.51|1.698|155.093|AH3|3.083|281.51|1.894|172.989|AH3.5|2.595|237.006|1.894|172.989|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.22042|1|1.32426|1|EK-1.5||K21|7.19511|5.5|5.79533|5.5|EK21||K1.5|1.83346|1|2.64706|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/sorribes-tormo-sara-stearns-peyton-h21vHQto/#ah;2;1.50;1","1.5","1.7","2.21","1.64","2.12","","","1.62","2.25","1.7","2.25","","","","","","",""
"SV","0000094","20240821|084152","20240819_1524305_013839_053793","R05_2_USA_Tennis in the Land - Cleveland","Sorribes Tormo","Stearns","|K|0.341053|EK|G||OL1|2.96646|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|152|EOH2|EG|NA||NAOL1|3.20754|ENAOL1|NAOL2|1.7024|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|7.706|9.19|1.27|1.514|AH-5|7.706|9.19|1.304|1.555|AH-4|6.637|7.916|1.377|1.642|AH-3.5|5.232|6.24|1.377|1.642|AH-3|5.232|6.24|1.421|1.694|AH-2.5|4.683|5.586|1.421|1.694|AH-2|4.683|5.586|1.471|1.755|AH-1.5|4.204|5.014|1.471|1.755||AH1.5|3.284|299.924|1.643|150.019|AH2|3.284|299.924|1.698|155.093|AH2.5|3.083|281.51|1.698|155.093|AH3|3.083|281.51|1.894|172.989|AH3.5|2.595|237.006|1.894|172.989|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.22042|1|1.32426|1|EK-1.5||K21|7.19511|5.5|5.79533|5.5|EK21||K1.5|1.83346|1|2.64706|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/sorribes-tormo-sara-stearns-peyton-h21vHQto/#ah;2;-1.50;1","-1.5","4.82","1.2","4.3","1.18","","","4.5","1.21","4.82","1.21","","","","","","",""
"SV","0000094","20240821|084140","20240819_1524305_013839_053793","R05_2_USA_Tennis in the Land - Cleveland","Sorribes Tormo","Stearns","|K|0.341053|EK|G||OL1|2.96646|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|152|EOH2|EG|NA||NAOL1|3.20754|ENAOL1|NAOL2|1.7024|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|7.706|9.19|1.27|1.514|AH-5|7.706|9.19|1.304|1.555|AH-4|6.637|7.916|1.377|1.642|AH-3.5|5.232|6.24|1.377|1.642|AH-3|5.232|6.24|1.421|1.694|AH-2.5|4.683|5.586|1.421|1.694|AH-2|4.683|5.586|1.471|1.755|AH-1.5|4.204|5.014|1.471|1.755||AH1.5|3.284|299.924|1.643|150.019|AH2|3.284|299.924|1.698|155.093|AH2.5|3.083|281.51|1.698|155.093|AH3|3.083|281.51|1.894|172.989|AH3.5|2.595|237.006|1.894|172.989|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.22042|1|1.32426|1|EK-1.5||K21|7.19511|5.5|5.79533|5.5|EK21||K1.5|1.83346|1|2.64706|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-cleveland/sorribes-tormo-sara-stearns-peyton-h21vHQto/","","2.81","1.47","2.68","1.41","","","2.6","1.5","2.81","1.5","","","","","","",""
"CSV","0000095","20240821|084205","20240819_1568004_046151_070347","R04_1_CZE_W75 Prerov","Hodzic","Wurth","|K|0.270957|EK|G||OL1|3.7925|EOL1|OL2|1.4697|EOL2|OH1|1|EOH1|OH2|1.932|EOH2|EG|NA|NOT|ENA||AH-5.5|11.528|1125.8|1.124|109.748|AH-5|11.528|1125.8|1.199|117.126|AH-4|7.003|683.924|1.315|128.405|AH-3.5|4.629|452.045|1.315|128.405|AH-3|4.629|452.045|1.307|127.635|AH-2.5|4.73|461.865|1.307|127.635|AH-2|4.73|461.865|1.314|128.315|AH-1.5|4.64|453.164|1.314|128.315||AH1.5|3.58|343.234|1.472|141.113|AH2|3.58|343.234|1.538|147.456|AH2.5|3.241|310.72|1.538|147.456|AH3|3.241|310.72|1.687|161.792|AH3.5|2.731|261.834|1.687|161.792|AH4|2.731|261.834|1.924|184.499|AH4.5|2.277|218.344|1.924|184.499|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.52209|1|1.5|1|EK-1.5||K21|10.0779|1|5.07089|5.6|EK21||K1.5|2.13525|5.6|2.29676|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/hodzic-mina-wurth-tara-hxtzu5Vb/#ah;2;5.50;2","5.5","1.82","1.92","1.81","1.89","","","","","1.82","1.92","","","","","","",""
"CSV","0000095","20240821|084203","20240819_1568004_046151_070347","R04_1_CZE_W75 Prerov","Hodzic","Wurth","|K|0.270957|EK|G||OL1|3.7925|EOL1|OL2|1.4697|EOL2|OH1|1|EOH1|OH2|1.932|EOH2|EG|NA|NOT|ENA||AH-5.5|11.528|1125.8|1.124|109.748|AH-5|11.528|1125.8|1.199|117.126|AH-4|7.003|683.924|1.315|128.405|AH-3.5|4.629|452.045|1.315|128.405|AH-3|4.629|452.045|1.307|127.635|AH-2.5|4.73|461.865|1.307|127.635|AH-2|4.73|461.865|1.314|128.315|AH-1.5|4.64|453.164|1.314|128.315||AH1.5|3.58|343.234|1.472|141.113|AH2|3.58|343.234|1.538|147.456|AH2.5|3.241|310.72|1.538|147.456|AH3|3.241|310.72|1.687|161.792|AH3.5|2.731|261.834|1.687|161.792|AH4|2.731|261.834|1.924|184.499|AH4.5|2.277|218.344|1.924|184.499|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.52209|1|1.5|1|EK-1.5||K21|10.0779|1|5.07089|5.6|EK21||K1.5|2.13525|5.6|2.29676|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/hodzic-mina-wurth-tara-hxtzu5Vb/#ah;2;4.50;2","4.5","2.17","1.64","2.1","1.65","","","","","2.17","1.65","","","","","","",""
"CSV","0000095","20240821|084208","20240819_1568004_046151_070347","R04_1_CZE_W75 Prerov","Hodzic","Wurth","|K|0.270957|EK|G||OL1|3.7925|EOL1|OL2|1.4697|EOL2|OH1|1|EOH1|OH2|1.932|EOH2|EG|NA|NOT|ENA||AH-5.5|11.528|1125.8|1.124|109.748|AH-5|11.528|1125.8|1.199|117.126|AH-4|7.003|683.924|1.315|128.405|AH-3.5|4.629|452.045|1.315|128.405|AH-3|4.629|452.045|1.307|127.635|AH-2.5|4.73|461.865|1.307|127.635|AH-2|4.73|461.865|1.314|128.315|AH-1.5|4.64|453.164|1.314|128.315||AH1.5|3.58|343.234|1.472|141.113|AH2|3.58|343.234|1.538|147.456|AH2.5|3.241|310.72|1.538|147.456|AH3|3.241|310.72|1.687|161.792|AH3.5|2.731|261.834|1.687|161.792|AH4|2.731|261.834|1.924|184.499|AH4.5|2.277|218.344|1.924|184.499|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.52209|1|1.5|1|EK-1.5||K21|10.0779|1|5.07089|5.6|EK21||K1.5|2.13525|5.6|2.29676|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/hodzic-mina-wurth-tara-hxtzu5Vb/#ah;2;1.50;1","1.5","2.18","1.64","2.17","1.61","","","","","2.18","1.64","","","","","","",""
"CSV","0000095","20240821|084206","20240819_1568004_046151_070347","R04_1_CZE_W75 Prerov","Hodzic","Wurth","|K|0.270957|EK|G||OL1|3.7925|EOL1|OL2|1.4697|EOL2|OH1|1|EOH1|OH2|1.932|EOH2|EG|NA|NOT|ENA||AH-5.5|11.528|1125.8|1.124|109.748|AH-5|11.528|1125.8|1.199|117.126|AH-4|7.003|683.924|1.315|128.405|AH-3.5|4.629|452.045|1.315|128.405|AH-3|4.629|452.045|1.307|127.635|AH-2.5|4.73|461.865|1.307|127.635|AH-2|4.73|461.865|1.314|128.315|AH-1.5|4.64|453.164|1.314|128.315||AH1.5|3.58|343.234|1.472|141.113|AH2|3.58|343.234|1.538|147.456|AH2.5|3.241|310.72|1.538|147.456|AH3|3.241|310.72|1.687|161.792|AH3.5|2.731|261.834|1.687|161.792|AH4|2.731|261.834|1.924|184.499|AH4.5|2.277|218.344|1.924|184.499|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.52209|1|1.5|1|EK-1.5||K21|10.0779|1|5.07089|5.6|EK21||K1.5|2.13525|5.6|2.29676|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/hodzic-mina-wurth-tara-hxtzu5Vb/#ah;2;-1.50;1","-1.5","5.43","1.13","5.35","1.12","","","","","5.43","1.13","","","","","","",""
"CSV","0000095","20240821|084157","20240819_1568004_046151_070347","R04_1_CZE_W75 Prerov","Hodzic","Wurth","|K|0.270957|EK|G||OL1|3.7925|EOL1|OL2|1.4697|EOL2|OH1|1|EOH1|OH2|1.932|EOH2|EG|NA|NOT|ENA||AH-5.5|11.528|1125.8|1.124|109.748|AH-5|11.528|1125.8|1.199|117.126|AH-4|7.003|683.924|1.315|128.405|AH-3.5|4.629|452.045|1.315|128.405|AH-3|4.629|452.045|1.307|127.635|AH-2.5|4.73|461.865|1.307|127.635|AH-2|4.73|461.865|1.314|128.315|AH-1.5|4.64|453.164|1.314|128.315||AH1.5|3.58|343.234|1.472|141.113|AH2|3.58|343.234|1.538|147.456|AH2.5|3.241|310.72|1.538|147.456|AH3|3.241|310.72|1.687|161.792|AH3.5|2.731|261.834|1.687|161.792|AH4|2.731|261.834|1.924|184.499|AH4.5|2.277|218.344|1.924|184.499|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.52209|1|1.5|1|EK-1.5||K21|10.0779|1|5.07089|5.6|EK21||K1.5|2.13525|5.6|2.29676|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/hodzic-mina-wurth-tara-hxtzu5Vb/","","3.32","1.3","3.25","1.29","","","3.3","1.29","3.32","1.33","","","","","","",""
"CSV","0000096","20240821|084219","20240819_1568004_026145_017040","R04_1_CZE_W75 Prerov","Serban","Burillo Escorihuela","|K|0.518411|EK|G||OL1|2.05545|EOL1|OL2|2.132|EOL2|OH1|2.702|EOH1|OH2|2.7664|EOH2|EG|NA|NOT|ENA||AH-5.5|3.64|355.426|1.425|139.15|AH-5|3.64|355.426|1.654|161.525|AH-4|2.688|262.536|1.869|182.511|AH-3.5|2.265|221.196|1.869|182.511|AH-3|2.265|221.196|2.017|196.951|AH-2.5|2.08|203.145|2.017|196.951|AH-2|2.08|203.145|2.048|200.011|AH-1.5|2.048|199.989|2.048|200.011||AH1.5|1.816|174.104|2.45|234.945|AH2|1.816|174.104|2.618|251.046|AH2.5|1.734|166.205|2.618|251.046|AH3|1.734|166.205|2.745|263.199|AH3.5|1.682|161.275|2.745|263.199|AH4|1.682|161.275|3.489|334.479|AH4.5|1.488|142.648|3.489|334.479|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.3028|5.6|1.60776|5.6|EK-1.5||K21|6.68016|5.6|7.37942|5.6|EK21||K1.5|1.53095|5.6|3.62536|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/serban-raluca-georgiana-burillo-escorihuela-irene-2NyHNgAt/#ah;2;-1.50;2","-1.5","1.83","1.92","1.81","1.89","","","","","1.83","1.92","","","","","","",""
"CSV","0000096","20240821|084221","20240819_1568004_026145_017040","R04_1_CZE_W75 Prerov","Serban","Burillo Escorihuela","|K|0.518411|EK|G||OL1|2.05545|EOL1|OL2|2.132|EOL2|OH1|2.702|EOH1|OH2|2.7664|EOH2|EG|NA|NOT|ENA||AH-5.5|3.64|355.426|1.425|139.15|AH-5|3.64|355.426|1.654|161.525|AH-4|2.688|262.536|1.869|182.511|AH-3.5|2.265|221.196|1.869|182.511|AH-3|2.265|221.196|2.017|196.951|AH-2.5|2.08|203.145|2.017|196.951|AH-2|2.08|203.145|2.048|200.011|AH-1.5|2.048|199.989|2.048|200.011||AH1.5|1.816|174.104|2.45|234.945|AH2|1.816|174.104|2.618|251.046|AH2.5|1.734|166.205|2.618|251.046|AH3|1.734|166.205|2.745|263.199|AH3.5|1.682|161.275|2.745|263.199|AH4|1.682|161.275|3.489|334.479|AH4.5|1.488|142.648|3.489|334.479|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.3028|5.6|1.60776|5.6|EK-1.5||K21|6.68016|5.6|7.37942|5.6|EK21||K1.5|1.53095|5.6|3.62536|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/serban-raluca-georgiana-burillo-escorihuela-irene-2NyHNgAt/#ah;2;-2.50;2","-2.5","1.96","1.79","1.87","1.83","","","","","1.96","1.83","","","","","","",""
"CSV","0000096","20240821|084224","20240819_1568004_026145_017040","R04_1_CZE_W75 Prerov","Serban","Burillo Escorihuela","|K|0.518411|EK|G||OL1|2.05545|EOL1|OL2|2.132|EOL2|OH1|2.702|EOH1|OH2|2.7664|EOH2|EG|NA|NOT|ENA||AH-5.5|3.64|355.426|1.425|139.15|AH-5|3.64|355.426|1.654|161.525|AH-4|2.688|262.536|1.869|182.511|AH-3.5|2.265|221.196|1.869|182.511|AH-3|2.265|221.196|2.017|196.951|AH-2.5|2.08|203.145|2.017|196.951|AH-2|2.08|203.145|2.048|200.011|AH-1.5|2.048|199.989|2.048|200.011||AH1.5|1.816|174.104|2.45|234.945|AH2|1.816|174.104|2.618|251.046|AH2.5|1.734|166.205|2.618|251.046|AH3|1.734|166.205|2.745|263.199|AH3.5|1.682|161.275|2.745|263.199|AH4|1.682|161.275|3.489|334.479|AH4.5|1.488|142.648|3.489|334.479|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.3028|5.6|1.60776|5.6|EK-1.5||K21|6.68016|5.6|7.37942|5.6|EK21||K1.5|1.53095|5.6|3.62536|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/serban-raluca-georgiana-burillo-escorihuela-irene-2NyHNgAt/#ah;2;1.50;1","1.5","1.29","3.36","1.29","3.25","","","","","1.29","3.36","","","","","","",""
"CSV","0000096","20240821|084222","20240819_1568004_026145_017040","R04_1_CZE_W75 Prerov","Serban","Burillo Escorihuela","|K|0.518411|EK|G||OL1|2.05545|EOL1|OL2|2.132|EOL2|OH1|2.702|EOH1|OH2|2.7664|EOH2|EG|NA|NOT|ENA||AH-5.5|3.64|355.426|1.425|139.15|AH-5|3.64|355.426|1.654|161.525|AH-4|2.688|262.536|1.869|182.511|AH-3.5|2.265|221.196|1.869|182.511|AH-3|2.265|221.196|2.017|196.951|AH-2.5|2.08|203.145|2.017|196.951|AH-2|2.08|203.145|2.048|200.011|AH-1.5|2.048|199.989|2.048|200.011||AH1.5|1.816|174.104|2.45|234.945|AH2|1.816|174.104|2.618|251.046|AH2.5|1.734|166.205|2.618|251.046|AH3|1.734|166.205|2.745|263.199|AH3.5|1.682|161.275|2.745|263.199|AH4|1.682|161.275|3.489|334.479|AH4.5|1.488|142.648|3.489|334.479|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.3028|5.6|1.60776|5.6|EK-1.5||K21|6.68016|5.6|7.37942|5.6|EK21||K1.5|1.53095|5.6|3.62536|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/serban-raluca-georgiana-burillo-escorihuela-irene-2NyHNgAt/#ah;2;-1.50;1","-1.5","2.59","1.46","2.55","1.45","","","","","2.59","1.46","","","","","","",""
"CSV","0000096","20240821|084212","20240819_1568004_026145_017040","R04_1_CZE_W75 Prerov","Serban","Burillo Escorihuela","|K|0.518411|EK|G||OL1|2.05545|EOL1|OL2|2.132|EOL2|OH1|2.702|EOH1|OH2|2.7664|EOH2|EG|NA|NOT|ENA||AH-5.5|3.64|355.426|1.425|139.15|AH-5|3.64|355.426|1.654|161.525|AH-4|2.688|262.536|1.869|182.511|AH-3.5|2.265|221.196|1.869|182.511|AH-3|2.265|221.196|2.017|196.951|AH-2.5|2.08|203.145|2.017|196.951|AH-2|2.08|203.145|2.048|200.011|AH-1.5|2.048|199.989|2.048|200.011||AH1.5|1.816|174.104|2.45|234.945|AH2|1.816|174.104|2.618|251.046|AH2.5|1.734|166.205|2.618|251.046|AH3|1.734|166.205|2.745|263.199|AH3.5|1.682|161.275|2.745|263.199|AH4|1.682|161.275|3.489|334.479|AH4.5|1.488|142.648|3.489|334.479|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.3028|5.6|1.60776|5.6|EK-1.5||K21|6.68016|5.6|7.37942|5.6|EK21||K1.5|1.53095|5.6|3.62536|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/czech-republic/itf-w75-prerov-women/serban-raluca-georgiana-burillo-escorihuela-irene-2NyHNgAt/","","1.68","2.11","1.64","2.12","","","1.72","2.02","1.72","2.12","","","","","","",""
