"CDM","0000019","20241007|122714","20241007_2010904_092918_052015","R04_1_FRA_Roanne Challenger","Frantzen/Jebens","Barrere/Eysseric","|K|0.604961|EK|G||OL1|1.67145|EOL1|OL2|2.58318|EOL2|OH1|2.49|EOH1|OH2|254|EOH2|EG|NA||NAOL1|1.83098|ENAOL1|NAOL2|2.75082|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/roanne-challenger-men-doubles/frantzen-constantin-jebens-hendrik-barrere-gregoire-eysseric-jonathan-n7mlmWGc/","","","","1.48","2.45","","","","","1.53","2.45","","","","","","",""
"CSM","0000022","20241007|122736","20241007_2011003_018648_061966","R03_1_ARG_Villa Maria Challenger","Kicker","Justo","|K|0.783203|EK|G||OL1|1.3504|EOL1|OL2|4.9203|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3504|ENAOL1|NAOL2|5.1282|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.707|160.994|3.463|326.686|AH-2.5|1.528|144.114|3.463|326.686|AH-2|1.528|144.114|3.806|359.044|AH-1.5|1.469|138.604|3.806|359.044||AH1.5|1.4|127.297|5.13|466.344|AH2|1.4|127.297|5.637|512.468|AH2.5|1.367|124.244|5.637|512.468|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.16468|6|2.16118|6|EK-1.5||K21|5.01303|6|7.83218|1|EK21||K1.5|1.54|6|7.25389|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/kicker-nicolas-justo-guido-ivan-j7G4FbgK/","","1.38","2.93","1.36","2.87","","","","","1.38","3.0","","","","","","",""
"CSM","0000023","20241007|122757","20241007_2010704_029180_022992","R04_1_CHN_Hangzhou Challenger","Harris","Lock","|K|0.863683|EK|G||OL1|1.2238|EOL1|OL2|7.8171|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2238|ENAOL1|NAOL2|8.1474|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/harris-billy-lock-benjamin-EyKA4AKj/#ah;2;-4.50;2","-4.5","1.82","2.01","1.78","1.92","","","","","1.82","2.01","","","","","","",""
"CSM","0000023","20241007|122759","20241007_2010704_029180_022992","R04_1_CHN_Hangzhou Challenger","Harris","Lock","|K|0.863683|EK|G||OL1|1.2238|EOL1|OL2|7.8171|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2238|ENAOL1|NAOL2|8.1474|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/harris-billy-lock-benjamin-EyKA4AKj/#ah;2;-5.50;2","-5.5","2.54","1.53","","","","","","","2.54","1.53","","","","","","",""
"CSM","0000023","20241007|122802","20241007_2010704_029180_022992","R04_1_CHN_Hangzhou Challenger","Harris","Lock","|K|0.863683|EK|G||OL1|1.2238|EOL1|OL2|7.8171|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2238|ENAOL1|NAOL2|8.1474|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/harris-billy-lock-benjamin-EyKA4AKj/#ah;2;1.50;1","1.5","1.04","13.23","1.03","9.3","","","","","1.04","13.23","","","","","","",""
"CSM","0000023","20241007|122800","20241007_2010704_029180_022992","R04_1_CHN_Hangzhou Challenger","Harris","Lock","|K|0.863683|EK|G||OL1|1.2238|EOL1|OL2|7.8171|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2238|ENAOL1|NAOL2|8.1474|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/harris-billy-lock-benjamin-EyKA4AKj/#ah;2;-1.50;1","-1.5","1.48","2.69","1.45","2.55","","","","","1.48","2.69","","","","","","",""
"CSM","0000023","20241007|122753","20241007_2010704_029180_022992","R04_1_CHN_Hangzhou Challenger","Harris","Lock","|K|0.863683|EK|G||OL1|1.2238|EOL1|OL2|7.8171|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2238|ENAOL1|NAOL2|8.1474|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/harris-billy-lock-benjamin-EyKA4AKj/","","1.15","5.63","1.13","5.1","","","1.12","5.7","1.15","5.7","","","","","","",""
"CSM","0000024","20241007|122813","20241007_2010804_026845_079088","R04_1_ESP_Valencia Challenger","Galan","Gaubas","|K|0.686176|EK|G||OL1|1.5403|EOL1|OL2|3.39735|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5403|ENAOL1|NAOL2|3.5409|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.509|236.678|AH-2.5|1000|1000|2.509|236.678|AH-2|1000|1000|2.83|266.975|AH-1.5|1000|1000|2.83|266.975||AH1.5|1000|1000|3.815|346.786|AH2|1000|1000|4.505|409.578|AH2.5|1000|1000|4.505|409.578|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.5381|6|1.8639|6|EK-1.5||K21|5.17225|6|5.73379|6|EK21||K1.5|1.54|6|6.24414|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/valencia-challenger-men/galan-daniel-elahi-gaubas-vilius-0MwROtGk/#ah;2;-2.50;2","-2.5","1.81","2.01","1.76","1.94","","","","","1.81","2.01","","","","","","",""
"CSM","0000024","20241007|122814","20241007_2010804_026845_079088","R04_1_ESP_Valencia Challenger","Galan","Gaubas","|K|0.686176|EK|G||OL1|1.5403|EOL1|OL2|3.39735|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5403|ENAOL1|NAOL2|3.5409|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.509|236.678|AH-2.5|1000|1000|2.509|236.678|AH-2|1000|1000|2.83|266.975|AH-1.5|1000|1000|2.83|266.975||AH1.5|1000|1000|3.815|346.786|AH2|1000|1000|4.505|409.578|AH2.5|1000|1000|4.505|409.578|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.5381|6|1.8639|6|EK-1.5||K21|5.17225|6|5.73379|6|EK21||K1.5|1.54|6|6.24414|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/valencia-challenger-men/galan-daniel-elahi-gaubas-vilius-0MwROtGk/#ah;2;-3.50;2","-3.5","2.11","1.75","2.01","1.71","","","","","2.11","1.75","","","","","","",""
"CSM","0000024","20241007|122818","20241007_2010804_026845_079088","R04_1_ESP_Valencia Challenger","Galan","Gaubas","|K|0.686176|EK|G||OL1|1.5403|EOL1|OL2|3.39735|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5403|ENAOL1|NAOL2|3.5409|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.509|236.678|AH-2.5|1000|1000|2.509|236.678|AH-2|1000|1000|2.83|266.975|AH-1.5|1000|1000|2.83|266.975||AH1.5|1000|1000|3.815|346.786|AH2|1000|1000|4.505|409.578|AH2.5|1000|1000|4.505|409.578|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.5381|6|1.8639|6|EK-1.5||K21|5.17225|6|5.73379|6|EK21||K1.5|1.54|6|6.24414|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/valencia-challenger-men/galan-daniel-elahi-gaubas-vilius-0MwROtGk/#ah;2;1.50;1","1.5","1.21","4.51","1.19","4.15","","","","","1.21","4.51","","","","","","",""
"CSM","0000024","20241007|122816","20241007_2010804_026845_079088","R04_1_ESP_Valencia Challenger","Galan","Gaubas","|K|0.686176|EK|G||OL1|1.5403|EOL1|OL2|3.39735|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5403|ENAOL1|NAOL2|3.5409|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.509|236.678|AH-2.5|1000|1000|2.509|236.678|AH-2|1000|1000|2.83|266.975|AH-1.5|1000|1000|2.83|266.975||AH1.5|1000|1000|3.815|346.786|AH2|1000|1000|4.505|409.578|AH2.5|1000|1000|4.505|409.578|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.5381|6|1.8639|6|EK-1.5||K21|5.17225|6|5.73379|6|EK21||K1.5|1.54|6|6.24414|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/valencia-challenger-men/galan-daniel-elahi-gaubas-vilius-0MwROtGk/#ah;2;-1.50;1","-1.5","2.31","1.63","2.23","1.58","","","","","2.31","1.63","","","","","","",""
"CSM","0000024","20241007|122805","20241007_2010804_026845_079088","R04_1_ESP_Valencia Challenger","Galan","Gaubas","|K|0.686176|EK|G||OL1|1.5403|EOL1|OL2|3.39735|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5403|ENAOL1|NAOL2|3.5409|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.509|236.678|AH-2.5|1000|1000|2.509|236.678|AH-2|1000|1000|2.83|266.975|AH-1.5|1000|1000|2.83|266.975||AH1.5|1000|1000|3.815|346.786|AH2|1000|1000|4.505|409.578|AH2.5|1000|1000|4.505|409.578|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.5381|6|1.8639|6|EK-1.5||K21|5.17225|6|5.73379|6|EK21||K1.5|1.54|6|6.24414|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/valencia-challenger-men/galan-daniel-elahi-gaubas-vilius-0MwROtGk/","","1.54","2.5","1.51","2.39","","","","","1.54","2.54","","","","","","",""
